CVE,Uptime,Updated
CVE-2023-45239,2023-11-07T00:00:00,yes
CVE-2023-45219,2024-05-10T00:00:00,yes
CVE-2023-45177,2023-12-01T00:00:00,yes
CVE-2023-45172,2024-02-01T00:00:00,yes
CVE-2023-45166,2024-06-20T00:00:00,yes
CVE-2023-45145,2023-11-07T00:00:00,yes
CVE-2023-45133,2023-10-25T00:00:00,yes
CVE-2023-45129,2023-10-24T00:00:00,yes
CVE-2023-4511,2023-10-12T00:00:00,yes
CVE-2023-4504,2023-11-10T00:00:00,yes
CVE-2023-44981,2024-03-21T00:00:00,yes
CVE-2023-4481,2024-01-23T00:00:00,yes
CVE-2023-4472,2024-02-12T00:00:00,yes
CVE-2023-44488,2023-12-22T00:00:00,yes
CVE-2023-44487,2024-02-09T00:00:00,yes
CVE-2023-44469,2023-10-08T00:00:00,yes
CVE-2023-44446,2023-12-19T00:00:00,yes
CVE-2023-44441,2024-05-03T00:00:00,yes
CVE-2023-44429,2024-04-28T00:00:00,yes
CVE-2023-44362,2023-12-15T00:00:00,yes
CVE-2023-44341,2024-02-29T00:00:00,yes
CVE-2023-44336,2024-02-16T00:00:00,yes
CVE-2023-44330,2024-04-11T00:00:00,yes
CVE-2023-44327,2024-03-15T00:00:00,yes
CVE-2023-44326,2023-12-15T00:00:00,yes
CVE-2023-44325,2024-03-15T00:00:00,yes
CVE-2023-44324,2024-06-06T00:00:00,yes
CVE-2023-44323,2023-11-16T00:00:00,yes
CVE-2023-44271,2023-12-14T00:00:00,yes
CVE-2023-4427,2023-10-06T00:00:00,yes
CVE-2023-4421,2023-12-22T00:00:00,yes
CVE-2023-44204,2023-10-27T00:00:00,yes
CVE-2023-44203,2023-10-21T00:00:00,yes
CVE-2023-44202,2023-10-21T00:00:00,yes
CVE-2023-44201,2023-10-21T00:00:00,yes
CVE-2023-44199,2023-10-23T00:00:00,yes
CVE-2023-44198,2023-10-23T00:00:00,yes
CVE-2023-44197,2023-10-23T00:00:00,yes
CVE-2023-44195,2023-10-25T00:00:00,yes
