0,1,2
185853.0,,
185852.0,,
185851.0,,
185850.0,,
185849.0,,
185848.0,,
185847.0,,
185846.0,,
185845.0,,
185844.0,,
185843.0,,
185842.0,,
185841.0,,
185840.0,,
185839.0,,
185838.0,,
185837.0,,
185836.0,,
185835.0,,
185834.0,,
185833.0,,
185832.0,,
185831.0,,
185830.0,,
185829.0,,
185828.0,,
185827.0,,
185826.0,,
185825.0,,
185824.0,,
185823.0,,
185822.0,,
185821.0,,
185820.0,,
185819.0,,
185818.0,,
185817.0,,
185816.0,,
185815.0,,
185814.0,,
185813.0,,
185812.0,,
185811.0,,
185810.0,,
185809.0,,
185808.0,,
185807.0,,
185806.0,,
185805.0,,
185804.0,,
185803.0,,
185802.0,,
185801.0,,
185800.0,,
185799.0,,
185798.0,,
185797.0,,
185796.0,,
185795.0,,
185794.0,,
185793.0,,
185792.0,,
185791.0,,
185790.0,,
185789.0,,
185788.0,,
185787.0,,
185786.0,,
185785.0,,
185784.0,,
185783.0,,
185782.0,,
185781.0,,
185780.0,,
185779.0,,
185778.0,,
185777.0,,
185776.0,,
185775.0,,
185774.0,,
185773.0,,
185772.0,,
185771.0,,
185770.0,,
185769.0,,
185768.0,,
185767.0,,
185766.0,,
185765.0,,
185764.0,,
185763.0,,
185762.0,,
185761.0,,
185760.0,,
185759.0,,
185758.0,,
185757.0,,
185756.0,,
185755.0,,
185754.0,,
185753.0,,
185752.0,,
185751.0,,
185750.0,,
185749.0,,
185748.0,,
185747.0,,
185746.0,,
185745.0,,
185744.0,,
185743.0,,
185742.0,,
185741.0,,
185740.0,,
185739.0,,
185738.0,,
185737.0,,
185736.0,,
185735.0,,
185734.0,,
185733.0,,
185732.0,,
185731.0,,
185730.0,,
185729.0,,
185728.0,,
185727.0,,
185726.0,,
185725.0,,
185724.0,,
185723.0,,
185722.0,,
185721.0,,
185720.0,,
185719.0,,
185718.0,,
185717.0,,
185716.0,,
185715.0,,
185714.0,,
185713.0,,
185712.0,,
185711.0,,
185710.0,,
185709.0,,
185708.0,,
185707.0,,
185706.0,,
185705.0,,
185704.0,,
185703.0,,
185702.0,,
185701.0,,
185700.0,,
185699.0,,
185698.0,,
185697.0,,
185696.0,,
185695.0,,
185694.0,,
185693.0,,
185692.0,,
185691.0,,
185690.0,,
185689.0,,
185688.0,,
185687.0,,
185686.0,,
185685.0,,
185684.0,,
185683.0,,
185682.0,,
185681.0,,
185680.0,,
185679.0,,
185678.0,,
185677.0,,
185676.0,,
185675.0,,
185674.0,,
185673.0,,
185672.0,,
185671.0,,
185670.0,,
185669.0,,
185668.0,,
185667.0,,
185666.0,,
185665.0,,
185664.0,,
185663.0,,
185662.0,,
185661.0,,
185660.0,,
185659.0,,
185658.0,,
185657.0,,
185656.0,,
185655.0,,
185654.0,,
185653.0,,
185652.0,,
185651.0,,
185650.0,,
185649.0,,
185648.0,,
185647.0,,
185646.0,,
185645.0,,
185644.0,,
185643.0,,
185642.0,,
185641.0,,
185640.0,,
185639.0,,
185638.0,,
185637.0,,
185636.0,,
185635.0,,
185634.0,,
185633.0,,
185632.0,,
185631.0,,
